Customer Name,SBU,Division,RFQ Type,Status,RFQ Date,RFQ Due Date,RFQ Aging,Clarification To CS,Clarification From CS,Remarks / Description,Expected Date of Engineering,Actual Date of Engineering,Engineering Remarks,Expected Date of Costing,Actual Date of Costing,Costing Remarks,FG Part No,Description,Quantity,Quote Date,Quote Value ($),Open-L1 Value ($),Open-L1 Date,Lost Value ($),PO No,PO Receipt Date,PO Value ($),created date
Test Customer,Test SBU,Asia Pacific,Tender,Pending with Engg,2026-07-17,2026-07-20,4,,,,,,,,,,1001,test,2,,,,,,,,,2026-07-17 09:25:40
Test Customer,Test SBU,Test Division,Test RFQ,Sales to Quote,2026-07-17,2026-07-27,4,,,,2026-07-17,2026-07-17,Engineering done,2026-07-17,2026-07-17,Costing done,A1,Part A,100,,,,,,,,,2026-07-17 07:23:47
Test Customer,Test SBU,Test Division,Test RFQ,Quote Submitted,2026-07-17,2026-07-27,4,need to improve,need to improve,need to improve,2026-07-18,2026-07-17,Noting,2026-07-21,2026-07-27,Nothing,A1,Part A,100,2026-07-22,10000.00,0.00,2026-07-21,0.00,00001,2026-07-20,10.00,2026-07-17 07:23:01
Test Customer,Test SBU,Test Division,Test RFQ,Pending with Costing,2026-07-17,2026-07-27,4,,,,2026-07-20,2026-07-20,,,,,A1,Part A,100,,,,,,,,,2026-07-17 07:20:55
Medtronic,Industrial,Latin America,Tender,Pending with Engg,2026-07-17,2026-07-17,4,,,,,,,,,,001,test,1,,,,,,,,,2026-07-17 07:00:20
Boeing,Aerospace,Latin America,Urgent,Pending with Sales,2026-06-15,2026-07-09,36,,,,,,,,,,PART-7726 | PART-2539 | PART-8802,Dummy part description | Dummy part description | Dummy part description,817 | 594 | 483,,,,,,,,,2026-07-15 06:55:07
Medtronic,Automotive,Asia Pacific,Standard,Pending with Costing,2026-06-08,2026-07-06,43,,,,,,,,,,PART-1942 | PART-9822,Dummy part description | Dummy part description,872 | 122,,,,,,,,,2026-07-15 06:55:07
Medtronic,Industrial,Latin America,Tender,Pending with Costing,2026-06-30,2026-07-11,21,,,,,,,,,,PART-7135 | PART-7491,Dummy part description | Dummy part description,508 | 403,,,,,,,,,2026-07-15 06:55:07
Boeing,Healthcare,Asia Pacific,Tender,Pending with Engg,2026-06-23,2026-07-08,28,,,,,,,,,,PART-6713 | PART-2612,Dummy part description | Dummy part description,798 | 335,,,,,,,,,2026-07-15 06:55:07
Boeing,Aerospace,Latin America,Standard,Pending with Costing,2026-07-05,2026-07-18,16,,,,,,,,,,PART-4065 | PART-3096,Dummy part description | Dummy part description,243 | 547,,,,,,,,,2026-07-15 06:55:07
Medtronic,Industrial,Latin America,Standard,Pending with Engg,2026-06-15,2026-07-14,36,,,,,,,,,,PART-8068 | PART-9837 | PART-3446,Dummy part description | Dummy part description | Dummy part description,867 | 859 | 817,,,,,,,,,2026-07-15 06:55:07
Medtronic,Aerospace,Asia Pacific,Standard,Pending with Sales,2026-06-21,2026-07-07,30,,,,,,,,,,PART-5286,Dummy part description,325,,,,,,,,,2026-07-15 06:55:07
Medtronic,Aerospace,Asia Pacific,Urgent,Sales to Quote,2026-06-14,2026-07-13,37,,,,,,,,,,PART-1553,Dummy part description,681,,410380.00,,,,,,,2026-07-15 06:55:07
Medtronic,Automotive,Europe,Tender,Pending with Costing,2026-06-09,2026-07-25,42,,,,,,,,,,PART-7052 | PART-3438,Dummy part description | Dummy part description,792 | 755,,,,,,,,,2026-07-15 06:55:07
Boeing,Industrial,Latin America,Standard,Pending with Costing,2026-07-01,2026-07-11,20,,,,,,,,,,PART-2004 | PART-7180,Dummy part description | Dummy part description,445 | 840,,,,,,,,,2026-07-15 06:55:07
Medtronic,Automotive,North America,Standard,Pending with Costing,2026-06-28,2026-07-15,23,,,,,,,,,,PART-6003 | PART-7577,Dummy part description | Dummy part description,337 | 717,,,,,,,,,2026-07-15 06:55:07
Boeing,Automotive,Asia Pacific,Urgent,Pending with Sales,2026-06-22,2026-07-20,29,,,,,,,,,,PART-4323,Dummy part description,352,,,,,,,,,2026-07-15 06:55:07
Medtronic,Healthcare,North America,Urgent,Pending with Engg,2026-06-24,2026-07-18,27,,,,,,,,,,PART-6912 | PART-4391,Dummy part description | Dummy part description,722 | 395,,,,,,,,,2026-07-15 06:55:07
Siemens,Industrial,North America,Urgent,Sales to Quote,2026-07-05,2026-07-13,16,,,,,,,,,,PART-9287 | PART-5037,Dummy part description | Dummy part description,300 | 133,,62855.00,,,,,,,2026-07-15 06:55:07
Ford Motor Company,Aerospace,North America,Tender,Pending with Costing,2026-06-06,2026-07-15,45,,,,,,,,,,PART-2222 | PART-6252 | PART-2316,Dummy part description | Dummy part description | Dummy part description,98 | 797 | 520,,,,,,,,,2026-07-15 06:55:07
Ford Motor Company,Healthcare,Asia Pacific,Standard,Pending with Engg,2026-06-09,2026-07-05,42,,,,,,,,,,PART-5253,Dummy part description,146,,,,,,,,,2026-07-15 06:55:07
Boeing,Automotive,Asia Pacific,Urgent,Quote Submitted,2026-07-03,2026-07-06,18,,,,,,,,,,PART-9462,Dummy part description,129,,246360.00,,,,,,,2026-07-15 06:55:07
Siemens,Automotive,Europe,Tender,Pending with Sales,2026-06-09,2026-07-16,42,,,,,,,,,,PART-5929 | PART-6080,Dummy part description | Dummy part description,482 | 878,,,,,,,,,2026-07-15 06:55:07
